Word,Total Occurrences
בית_ספר,236
הקורונה,54
וד,54
מורים,53
תלמידים,49
הנוכחי,40
המורים,35
התלמידים,30
חרבות_ברזל,30
מרחוק,30
בני,29
מקוונת,25
בן,20
בחן,19
עצמית,18
גני_ילדים,18
מגפת,17
הנוער,16
הורים,16
נוער,16
מטרות,15
טל,15
דיגיטלית,15
מקצועי,15
אסטרטגיות,14
פעולה,14
מיומנויות,14
המלחמה,14
צוותי,14
מבוססת,14
החינוכי,13
תהליכי,13
פערים,13
ענת,13
תרבות,13
מדינות,13
מידת,12
התייחסות,12
במדינות,12
בעולם,12
מטרת,12
לאורך,12
דרכי,12
חוסר,12
בעלי,12
מתמקדת,12
אוריינות,12
בנוסף,11
הרגשי,11
מיכל,11
לשיפור,11
בפני,11
ללמוד,11
הישגי,11
יעל,10
מתבגרים,10
תלמידי,10
מעורבות,10
בהקשר,10
מקצועית,10
חברתית,10
ליאת,10
ספרית,10
דנה,10
מירי,10
קבוצת,10
הלומדים,10
רגשית,10
לספק,10
החלטות,10
בחינת,10
הרך,10
רמת,10
אורלי,10
מרחב,10
בכיתות,9
אנשי,9
מלחמת,9
חירום,9
טלי,9
ספרות,9
חינוכית,9
דוגמאות,9
גורמי,9
ההתמודדות,9
המידע,9
לבדוק,9
ההתערבות,9
שלומות,9
יסודיים,9
ברק,9
טכנולוגיה,9
מצבם,8
משאבים,8
דתי,8
הספרות,8
ביחס,8
אוכלוסיות,8
מור,8
התערבות,8
הילה,8
כיתות,8
בגיל,8
תמר,8
קבלת,8
הפערים,8
נערך,7
התמקד,7
אודט,7
להכשרת,7
שינוי,7
המורה,7
הבדלים,7
מגוון,7
הנוכחית,7
לתת,7
תכנון,7
אוכלוסייה,7
רותם,7
עדי,7
שלהלן,7
הנפשית,7
הממלכתי,7
מקורות,7
המקוונת,7
שתי,7
התמודדות,7
לסייע,7
עקרונות,7
הבלתי,7
חברתיים,7
בלאו,7
הוראת,7
המקצועי,7
יציג,7
העקרונות,7
המדינות,7
נוי,7
דוברי,7
לילך,6
ענבל,6
חינוכיות,6
רות,6
ההורים,6
שירי,6
סוג,6
הגפ,6
סמך,6
שיפור,6
לקראת,6
החינוכיים,6
דגש,6
לטיפוח,6
בארץ,6
ובעולם,6
מתמקד,6
חברתיות,6
החינוכית,6
הברית,6
ארבע,6
פיש,6
תת,6
הערבית,6
חשיפה,6
פרוץ,6
ויסות,6
גננות,6
נפשית,6
מצוקה,6
תמי,6
רגשי,6
אישיים,6
פדגוגיה,6
המשבר,6
פדגוגיות,6
הערכת,6
שבין,6
דוד,6
מדינה,6
אולם,6
לפעול,6
הישגים,6
מבקש,6
חיים,6
מבוסס,6
נוספת,6
שירה,6
הקשיים,6
שמטרתם,6
בינתחומית,6
להוראת,6
האוריינות,6
בפועל,6
עיצוב,6
הטיפוח,6
מסגרות,5
במסגרות,5
באסטרטגיות,5
הצוות,5
עדו,5
ואסף,5
רחב,5
הביניים,5
פרקטיקות,5
לביא,5
ניהול,5
כלומר,5
חקר,5
שלוש,5
תחושת,5
שלושת,5
גדעון,5
מנגנונים,5
עבודת,5
אנכיים,5
בחינה,5
להתמודד,5
הפוטנציאל,5
רגשיים,5
יוסי,5
הראל,5
מקיף,5
סיכון,5
רווחה,5
דפוסי,5
ספרי,5
בהשוואה,5
איכות,5
שרון,5
הרווחה,5
ברשת,5
מדדי,5
השתתפות,5
שפירא,5
השתתפו,5
השפעת,5
שעות,5
השתלמות,5
יהודית,5
נעמה,5
שמיר,5
יסודי,5
התמודדו,5
המחקרית,5
מקצועיים,5
זיו,5
שלושה,5
חברתי,5
דיגיטלי,5
פדגוגיים,5
מיטבי,5
חן,5
התערבויות,5
היתה,5
ברמת,5
קריאה,5
גישת,5
רחבה,5
בארה,5
וממצאי,5
הנוגעים,5
מומלצות,5
ברוך,5
לחזק,5
מיפוי,5
הנקרא,5
העולם,5
הקשורות,5
אורית,5
הרוח,5
דעת,5
נקודת,5
ההורה,5
אדם,5
בהכוונה,5
הביקורת,5
עדכני,5
משולב,5
ביקש,5
בריטניה,5
הטכנולוגיות,5
הרשקוביץ,5
בדגש,5
גיל,5
באוקטובר,4
השוואה,4
חטיבת,4
המשתנים,4
ומעורבות,4
קוגניטיביות,4
מלחמה,4
המידה,4
ומורים,4
סלע,4
שנערכו,4
במימון,4
לחיזוק,4
מציע,4
ודאות,4
תנאים,4
בתנאי,4
שגרה,4
גמישות_פדגוגית,4
נבחרו,4
השינויים,4
שינויים,4
יוליה,4
ליפשיץ,4
משה,4
מקצוע,4
נבחנו,4
מנבאים,4
פרחי,4
אישי,4
הצגת,4
אפקטיבית,4
מקרי,4
התמקדות,4
מיטבית,4
אור,4
החינוכיות,4
ערכי,4
התיכון,4
הישראלי,4
מוסד_חינוכי,4
אבו,4
בריאות,4
החברתי,4
בחברה,4
לאפיין,4
ולהציע,4
הבנת,4
השינוי,4
השפיעה,4
החברתיות,4
מורות,4
בחנו,4
חמלה,4
קצרה,4
וב,4
רונית,4
ראיות,4
ההישגים,4
במידע,4
מערכתיים,4
ברחבי,4
בהתייחס,4
לעבודה,4
החברה,4
הישראלית,4
מחד,4
בשגרה,4
מטרתו,4
הראשית,4
עודד,4
בושריאן,4
הדיגיטלי,4
ראשית,4
החירום,4
לסרי,4
וי,4
העליונה,4
תפקידם,4
יעילותן,4
לימודי,4
המסגרות,4
לגיל,4
חינוכיים,4
כיתה,4
ודרכי,4
האפקטיביות,4
בהתאם,4
מבוססים,4
למשל,4
מסוימת,4
קנדה,4
כרמית,4
פורמלי,4
עדויות,4
אלימות,4
וגב,4
להתמודדות,4
תכנים,4
דו,4
המדעי,4
ההקשר,4
יאיר,4
מומחים,4
אקדמיה,4
שרית,4
היסודות,4
בחשבון,4
לימודיים,4
שיטות,4
מבוססות,4
חינוכי,4
המיומנויות,4
אבידב,4
אונגר,4
