source_file,call_title,pi_name,proposal_title,duration_months,site_count,subject_count,target_populations_count,data_waves_count,has_surveys,has_interviews,has_focus_groups,has_observations,has_tests,collection_mode,tool_development_type,languages_count,requires_translation,uses_admin_data,requires_data_linking,is_complex_design,budgeted_person_work,has_external_services,deliverables_level,has_special_equipment,is_multidisciplinary
אורטל_סלובדין_21.txt,קול קורא מס' 2021.11/27 למחקר בנושא החינוך בחברה הערבית בישראל,פרופ' אורטל סלובודין,"הארון הכפול: נוער להט""בי במערכת החינוך הערבית בישראל",18,80,80,-1,-1,0,1,0,0,0,Online,Unknown,3,-1,0,0,0,125280,1,Unknown,0,-1
אורטל_סלובדין_24.txt,קול קורא מס' 15/5.2024 למחקר בנושא חינוך בצל משבר מתמשך בחברה הערבית,"פרופ' אורטל סלובודין, פרופ' הללי פינסון",חסמים באיתור ובהשתתפות תלמידים/ות מהחברה הבדואית בתוכניות מחוננים ומצטיינים,18,8,100,2,1,0,1,0,0,0,Mixed,New,2,1,1,0,1,134676,1,Extended,0,1
אורי_כהן_21.txt,קול קורא מס' 27/11.2021 למחקר בנושא החינוך בחברה הערבית בישראל,אורי כהן,יחסי גומלין בין מנהל החינוך ברשות המקומית לבתי הספר התיכוניים העיוניים בחברה הערבית,18,25,65,3,-1,0,1,0,0,0,Field,Unknown,2,-1,0,0,0,248400,0,Unknown,0,-1
אורית_חזן_24.txt,"קול קורא מס' 27/8.24 למחקר בנושא ""קבלת החלטות בית ספריות מבוססות נתונים בקרב מנהלי בתי ספר""",אורית חזן,קבלת החלטות בית ספריות מבוססות נתונים בקרב מנהלי בתי ספר,16,25,175,1,2,1,1,0,0,0,Mixed,New,1,0,0,0,1,217500,1,Standard,0,0
אורלי_ליפקה_24.txt,קול קורא מס 15/5.2024 למחקר בנושא חינוך בצל משבר מתמשך בחברה הערבית,"אורלי ליפקה, תמר קציר",חוסן אישי ותחושת שלומות של מורים בחברה הערבית בישראל: השפעות על הישגי תלמידים בצל משבר מתמשך,18,-1,1255,2,2,1,0,1,0,1,Online,Adaptation,1,1,0,0,1,135000,1,Extended,0,1
אורלי_ליפקה_25.txt,"קול קורא מס' 24/9.2025 בנושא ""השפעות בינה מלאכותית יוצרת על תלמידים ועובדי הוראה: חקר מגמות, דפוסים והשפעות""",אורלי ליפקה,"בינה מלאכותית יוצרת: מהבנה ליישום במערכת החינוך - מגמות, דפוסים והשפעות בקרב תלמידים ומורים",36,10,4250,3,3,1,0,1,0,0,Mixed,Adaptation,1,1,0,0,1,287500,1,Standard,0,1
אורלי_רובינשטיין_24.txt,"קול קורא מס' 14/5.2024 למחקר ופיתוח בנושא הוראה, למידה והערכה של מתמטיקה בגילי היסוד","אורלי רובינשטיין, נגה כהן","""לדבר את החשיבה"" אימון תפקודים קוגניטביים גבוהים לצורך שיפור השגים בבעיות מילוליות מורכבות מחיי היומיום",36,5,320,2,2,1,0,0,1,1,Mixed,Adaptation,3,0,1,0,1,383000,1,Standard,0,1
אורלי_שפירא_21.txt,קול קורא למחקרים בנושא השפעות הקורונה,אורלי שפירא,"הערכת חוסר היציבות במסגרות לגיל הרך על רקע מגיפת הקורונה השלכות בקרב צוותי חינוך, הורים וילדים",-1,-1,1500,2,3,1,1,0,0,0,SurveyInstitute,Adaptation,1,0,0,0,1,240000,1,Extended,0,0
אורלי_שפירא_23.txt,"קול קורא מס' 34/9.2023 למחקר בנושא – שיקולים של בוגרי החמ""ד בבחירת קריירה בהוראה, בחירת מוסד הכשרה להוראה ובחירת התמחות והשמה בהוראה",אורלי שפירא-לשצינסקי,"שיקולים של בוגרי חמ""ד בבחירת קריירה בהוראה, בחירת מוסד הכשרה להוראה, בחירת התמחות והשמה בהוראה",18,10,200,-1,-1,1,1,0,0,0,Mixed,New,-1,0,-1,-1,-1,195000,1,Unknown,0,-1
אורלי_שפירא_ליפשיץ_24.txt,"קול קורא מס' 27/8.24 למחקר בנושא ""קבלת החלטות בית ספריות מבוססות נתונים בקרב מנהלי בתי ספר""",פרופ' אורלי שפירא-לשצינסקי,חוכמת הנתונים- לקראת פיתוח אסטרטגיות וכלים לקבלת החלטות בית ספריות מבוססות נתונים בקרב מנהלי בתי ספר,18,40,40,1,-1,0,1,0,0,0,Field,New,-1,0,0,0,0,147000,1,Extended,0,0
