Word,Page_Number
חירום,1
מתמשך,1
מערכת,1
החינוך,1
בימי,1
מלחמה,1
ומשבר,1
בין,1
פגיעה,1
לחוסן,1
אסופת,1
מחקרים,1
על,1
ההשלכות,1
של,1
מלחמת,1
חרבות,1
ברזל,1
על,1
תלמידים,1
ועובדי,1
הוראה,1
על,1
משאבי,1
חוסן,1
עצמיים,1
וחברתיים,1
ועל,1
כלים,1
לחיזוק,1
החוסן,1
מדינת,1
ישראל,1
משרד,1
החינוך,1
לשכת,1
המדענית,1
הראשית,1
עריכה,1
ד,1
ר,1
אודט,1
סלע,1
ד,1
ר,1
טל,1
רז,1
ד,1
ר,1
אסף,1
שטיין,1
לשכת,1
המדענית,1
הראשית,1
משרד,1
החינוך,1
כתיבת,1
המבוא,1
ד,1
ר,1
עדו,1
ליטמנוביץ,1
אדר,1
תשפ,1
ו,1
תוכן,2
עניינים,2
מבואא,2
הקשר,2
היסטורי,2
ומחקרי,2
לאסופהב,2
מאפיינים,2
ראשוניים,2
של,2
מצב,2
החירום,2
המתמשך,2
הנוכחי,2
בחינוךג,2
ד,2
חלק,2
ראשון,2
חלק,2
שני,2
חלק,2
שלישי,2
רשימת,2
המאמריםנספח,2
א,3
בסופה,3
של,3
שעת,3
חירום,3
מתמשכת,3
ורחבת,3
היקף,3
שנמשכה,3
אסופת,3
מחקרים,3
זו,3
נחתמת,3
בסתיו,3
כשנתיים,3
תקופה,3
זו,3
השפיעה,3
ועודנה,3
משפיעה,3
על,3
מציאות,3
החיים,3
בישראל,3
ובתוכה,3
על,3
מערכת,3
החינוך,3
ראשיתה,3
של,3
האסופה,3
בקול,3
קורא,3
שהוציאה,3
לשכת,3
המדענית,3
הראשית,3
במשרד,3
החינוך,3
בדצמבר,3
צוותים,3
של,3
חוקרות,3
וחוקרים,3
ממגוון,3
מוסדות,3
אקדמיים,3
בארץ,3
הגישו,3
חודשיים,3
לאחר,3
פרוץ,3
המלחמה,3
כ,3
מחקרים,3
הצעות,3
מחקר,3
לבחינת,3
ההשפעות,3
של,3
מלחמת,3
חרבות,3
ברזל,3
על,3
מערכת,3
החינוך,3
מהם,3
נבחרו,3
על,3
החינוך,3
בישראל,3
בחודשים,3
הראשונים,3
למלחמה,3
מרבית,3
המחקרים,3
שנבחרו,3
עסקו,3
בתלמידים,3
בני,3
נוער,3
מבחינת,3
כיסוי,3
גאוגרפי,3
חלק,3
הלומדים,3
בחטיבה,3
העליונה,3
כשליש,3
מהמחקרים,3
התמקדו,3
בצוותים,3
חינוכיים,3
מהמחקרים,3
התמקדו,3
באזור,3
העוטף,3
ובדרום,3
אחרים,3
בחנו,3
את,3
השינויים,3
בחינוך,3
באזור,3
הצפון,3
וחלק,3
אחר,3
בחנו,3
את,3
כל,3
מערכת,3
החינוך,3
בארץ,3
דוחות,3
המחקר,3
הוגשו,3
ללשכת,3
המדענית,3
הראשית,3
עד,3
סוף,3
שנת,3
ועברו,3
שיפוט,3
אקדמי,3
לפני,3
שאושרו,3
סופית,3
השנה,3
ואוגדו,3
לאסופה,3
זו,3
מטרתה,3
של,3
האסופה,3
היא,3
להציג,3
תמונה,3
מחקרית,3
מנקודות,3
מבט,3
רבות,3
על,3
האופן,3
שבו,3
נחוותה,3
ונתפסה,3
הפעילות,3
החינוכית,3
בחודשים,3
הראשונים,3
למלחמת,3
חרבות,3
ברזל,3
חיבור,3
של,3
כלל,3
הממצאים,3
יחד,3
מאפשר,3
להתחיל,3
להבין,3
את,3
עומק,3
המשבר,3
ואת,3
הסיכון,3
שטמון,3
בו,3
לפגיעה,3
ארוכת,3
טווח,3
במקביל,3
לכך,3
ניתן,3
להתחיל,3
ולאתר,3
כוחות,3
ומשאבים,3
שיאפשרו,3
שיקום,3
והתמודדות,3
עימו,3
כינסה,3
לשכת,3
כדי,3
לסייע,3
למשרד,3
החינוך,3
לקדם,3
פתרונות,3
למשבר,3
כפי,3
שהוא,3
מוצג,3
באסופה,3
בקיץ,3
המדענית,3
הראשית,3
לשלושה,3
מפגשים,3
חוקרות,3
וחוקרים,3
שהשתתפו,3
בכתיבת,3
מחקרי,3
האסופה,3
במפגשים,3
בחנו,3
יחד,3
מהן,3
התובנות,3
היישומיות,3
העולות,3
מהאסופה,3
כמו,3
כן,3
דנו,3
בהם,3
בעקרונות,3
שעליהם,3
מומלץ,3
להשתית,3
את,3
ההכנה,3
לזמן,3
חירום,3
ואת,3
ההתמודדות,3
עם,3
משבר,3
מתמשך,3
בתום,3
מפגשים,3
אלו,3
יצרנו,3
מסמך,3
תשתית,3
ידע,3
שמסכם,3
רעיונות,3
אלו,3
ומנגיש,3
אותם,3
למתווי,3
מדיניות,3
במשרד,3
החינוך,3
מסמך,3
זה,3
יפורסם,3
בנפרד,3
להבנת,3
עומק,3
המשבר,3
והתמשכותו,3
יש,3
תרומה,3
כפולה,3
ראשית,3
מדובר,3
במסגור,3
מחדש,3
של,3
המצב,3
בשונה,3
מהמסגור,3
השגור,3
של,3
משברים,3
נקודתיים,3
שהתרחשו,3
בזמן,3
מסוים,3
והסתיימו,3
שנית,3
המסגור,3
מחדש,3
גם,3
מחייב,3
שינוי,3
בהתייחסות,3
שלנו,3
קובעי,3
מדיניות,3
חוקרים,3
ומחנכים,3
אם,3
במצב,3
של,3
משבר,3
נקודתי,3
נהוג,3
להתמקד,3
בשיקום,3
ובחזרה,3
לשגרה,3
כפי,3
שמוצג,3
במודלים,3
תיאורטיים,3
רבים,3
הרי,3
שבמצב,3
חירום,3
מתמשך,3
ראוי,3
לבחון,3
מחדש,3
את,3
המענים,3
הניתנים,3
למצב,3
החינוך,3
הנוכחי,3
בחשיבה,3
ארוכת,3
טווח,3
הרעיון,3
של,3
מצב,3
חירום,3
מתמשך,3
בחינוך,3
מתבסס,3
על,3
מחקר,3
קיים,3
מאז,3
משבר,3
הקורונה,3
הוגדרו,3
מערכות,3
מתייחסות,3
למצב,3
חינוך,3
שונות,3
בעולם,3
כנתונות,3
תחת,3
חירום,3
מתמשך,3
קלמן,3
הלוי,3
ומסרמן,3
אזולאי,3
מתמקדות,3
באוכלוסיית,3
חירום,3
מתמשך,3
בכלל,3
מערכת,3
החינוך,3
בישראל,3
ואילו,3
חזן,3
ועמיתותיה,3
התלמידים,3
והצוותים,3
החינוכיים,3
שפונו,3
במלחמת,3
חרבות,3
ברזל,3
מושג,3
זה,3
כבר,3
נמצא,3
בשימוש,3
גם,3
במשרד,3
